,price,rent_price,area_m2,room_number,year,floor_number,features
93,,,79.76,4.0,2022.0,floor_2,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
94,620000.0,,52.5,2.0,,floor_1,"['domofon / wideofon', 'piekarnik', 'kuchenka', 'balkon', 'piwnica', 'winda']"
95,,,39.91,2.0,2025.0,floor_1,"['garaż/miejsce parkingowe', 'winda']"
96,,,32.99,1.0,2025.0,floor_2,"['garaż/miejsce parkingowe', 'winda']"
97,,,25.55,1.0,2025.0,floor_4,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
98,,,62.64,4.0,2023.0,ground_floor,"['garaż/miejsce parkingowe', 'taras', 'ogródek', 'winda']"
99,458703.0,,56.63,3.0,2022.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon']"
100,,,37.81,2.0,2025.0,floor_2,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
101,,,28.42,1.0,2025.0,floor_3,"['garaż/miejsce parkingowe', 'winda']"
102,,,28.11,1.0,2025.0,floor_1,"['garaż/miejsce parkingowe', 'winda']"
103,260000.0,400.0,27.8,1.0,1970.0,floor_4,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'piwnica']"
104,,,33.09,2.0,2025.0,floor_5,"['garaż/miejsce parkingowe', 'winda']"
105,,,22.35,1.0,2025.0,floor_3,"['garaż/miejsce parkingowe', 'winda']"
106,,,21.74,1.0,2025.0,floor_6,"['garaż/miejsce parkingowe', 'winda']"
107,400000.0,400.0,33.06,2.0,1903.0,ground_floor,"['domofon / wideofon', 'meble', 'piwnica']"
108,1699000.0,1000.0,92.0,3.0,2012.0,floor_6,"['domofon / wideofon', 'meble', 'balkon', 'garaż/miejsce parkingowe']"
109,,,23.98,1.0,2025.0,floor_2,"['garaż/miejsce parkingowe', 'winda']"
110,,,37.81,2.0,2025.0,floor_3,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
111,338235.0,,35.82,2.0,2023.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'taras']"
112,479860.0,,46.77,2.0,2022.0,floor_2,"['internet', 'telefon', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda']"
113,1378857.0,,57.2,2.0,2022.0,floor_1,"['internet', 'telefon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda']"
114,1401903.0,,71.6,2.0,2021.0,floor_6,"['internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda']"
115,,,29.68,1.0,2025.0,floor_1,"['teren zamknięty', 'balkon', 'winda']"
116,535000.0,650.0,45.0,2.0,1970.0,floor_2,"['balkon', 'piwnica']"
117,391110.0,,41.83,2.0,2024.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'pom. użytkowe']"
118,460000.0,600.0,35.3,2.0,2021.0,ground_floor,"['domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
119,960000.0,1150.0,57.4,2.0,2012.0,floor_6,"['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
120,449000.0,,41.0,2.0,2022.0,floor_2,"['domofon / wideofon', 'meble', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
121,960000.0,,67.65,4.0,1930.0,ground_floor,[]
122,661720.0,,46.6,3.0,2024.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'taras']"
123,759000.0,,59.3,3.0,1980.0,floor_2,"['telewizja kablowa', 'internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'piwnica']"
124,359266.0,320.0,41.07,2.0,2022.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
125,459879.0,,25.62,1.0,2024.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
126,439000.0,600.0,37.64,1.0,,floor_1,"['balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']"
127,829000.0,,75.0,3.0,,floor_2,"['balkon', 'garaż/miejsce parkingowe']"
128,386927.0,,41.83,2.0,2024.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'rolety antywłamaniowe', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'pom. użytkowe']"
129,1150000.0,1000.0,53.4,3.0,2022.0,floor_2,"['balkon', 'garaż/miejsce parkingowe', 'winda']"
130,391110.0,,41.83,2.0,2024.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'pom. użytkowe']"
131,411500.0,,42.0,2.0,2023.0,floor_4,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'balkon']"
132,1170000.0,800.0,76.1,3.0,2005.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'system alarmowy', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'balkon', 'garaż/miejsce parkingowe']"
133,799000.0,600.0,63.0,3.0,2018.0,floor_3,"['balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
134,365000.0,,40.0,2.0,2023.0,floor_4,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'ogródek']"
135,375000.0,,41.0,2.0,2023.0,floor_4,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'ogródek']"
136,370500.0,,41.0,2.0,2023.0,floor_2,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'ogródek']"
137,386000.0,,43.0,2.0,2023.0,floor_2,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'ogródek']"
138,540000.0,,66.0,3.0,2023.0,ground_floor,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'ogródek']"
139,685000.0,300.0,48.2,2.0,1975.0,floor_3,"['domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'piwnica', 'winda', 'oddzielna kuchnia']"
140,470000.0,600.0,47.0,2.0,,ground_floor,"['lodówka', 'meble', 'kuchenka', 'pralka', 'balkon', 'piwnica']"
141,509000.0,750.0,63.0,3.0,1984.0,floor_2,"['meble', 'kuchenka', 'pralka', 'balkon', 'piwnica', 'garaż/miejsce parkingowe']"
142,399000.0,500.0,50.0,2.0,1920.0,ground_floor,"['meble', 'piwnica', 'oddzielna kuchnia', 'pom. użytkowe']"
143,999000.0,,75.0,3.0,,floor_2,['oddzielna kuchnia']
144,1900000.0,,164.3,5.0,,,"['meble', 'garaż/miejsce parkingowe', 'ogródek', 'oddzielna kuchnia', 'taras']"
145,415000.0,,41.0,2.0,2016.0,floor_2,"['monitoring / ochrona', 'garaż/miejsce parkingowe']"
146,549000.0,,62.0,3.0,1982.0,floor_3,[]
147,584900.0,,69.0,3.0,2011.0,floor_3,"['monitoring / ochrona', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
148,995000.0,490.0,65.0,3.0,1901.0,floor_1,"['piwnica', 'pom. użytkowe']"
149,,,48.01,2.0,2022.0,ground_floor,"['garaż/miejsce parkingowe', 'taras', 'winda']"
150,589000.0,,66.18,3.0,2010.0,floor_2,"['monitoring / ochrona', 'meble', 'garaż/miejsce parkingowe']"
151,999000.0,,96.0,4.0,2003.0,ground_floor,"['system alarmowy', 'oddzielna kuchnia']"
152,649000.0,,42.0,2.0,1980.0,floor_2,"['meble', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'oddzielna kuchnia', 'pom. użytkowe']"
153,750000.0,350.0,38.0,2.0,2008.0,floor_3,"['monitoring / ochrona', 'meble', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
154,719000.0,,62.4,3.0,1979.0,floor_1,"['meble', 'balkon', 'piwnica', 'winda', 'pom. użytkowe']"
